Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lotus-on-white-print-saga-saree,Lotus On White Print Saga Saree,"<p>With a vision to recreate the dying romance between the women and the weave, zari Banaras offers it's contemporary hue and charm to the timeless textiles of Benaras. Accentuating the feminine beauty by bringing together weaves of elegance in shades of eclectic inspiration. For this reason alone, our sarees hold the sacred devotion of the hands that create it while our designs breathe a collective creative effulgence. Together with a discerning eye to detail and impeccable standard of quality we weave perfect sartorial sophistication for a woman of taste.<span> </span><strong><em>Enjoy our hand paint edition with love from Banaras.</em></strong></p>
<p data-mce-fragment=""1"">Saree and blouse length : 6.3 meters</p>
<p data-mce-fragment=""1"">Fabric : Japan Crepe silk</p>
<p data-mce-fragment=""1"">Time to ship : 7 to 8 working days</p>",SM,Saree,"CREPE, JAPAN CREPE, RJ, SILK, WHITE",TRUE,Title,Default Title,,,,,ZB-RJ-KASA-DIGITAL-159009-RS,500,,1,deny,manual,5199.00,10398.00,0,0,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/2_e69b6dfc-6576-490e-9ef5-84df55bb072b.jpg?v=1644051788,,,,,,,,,,,,,,,,,,,,g,,,active
lotus-on-white-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/5_ec29d87c-deb3-48ce-9e11-873714b9bdfc.jpg?v=1644051788,,,,,,,,,,,,,,,,,,,,,,,
lotus-on-white-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/3_e7d5309a-682d-47f7-8d18-2c82bc446324.jpg?v=1644051788,,,,,,,,,,,,,,,,,,,,,,,
blue-heaven-print-saga-saree,Blue Heaven Print Saga Saree,"<p>With a vision to recreate the dying romance between the women and the weave, zari Banaras offers it's contemporary hue and charm to the timeless textiles of Benaras. Accentuating the feminine beauty by bringing together weaves of elegance in shades of eclectic inspiration. For this reason alone, our sarees hold the sacred devotion of the hands that create it while our designs breathe a collective creative effulgence. Together with a discerning eye to detail and impeccable standard of quality we weave perfect sartorial sophistication for a woman of taste.<span> </span><strong><em>Enjoy our hand paint edition with love from Banaras.</em></strong></p>
<p data-mce-fragment=""1"">Saree and blouse length : 6.3 meters</p>
<p data-mce-fragment=""1"">Fabric : Japan Crepe silk</p>
<p data-mce-fragment=""1"">Time to ship : 7 to 8 working days</p>",SM,Saree,"BLUE, CREPE, JAPAN CREPE, RJ, SILK",TRUE,Title,Default Title,,,,,ZB-RJ-KASA-DIGITAL-159007,500,,1,deny,manual,5199.00,10398.00,0,0,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/3_d8556664-a9f6-441a-a268-3806cddd7918.jpg?v=1607169053,,,,,,,,,,,,,,,,,,,,g,,,active
blue-heaven-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/4_e001e8e7-b44d-46e2-9aa1-1e40e961c3d0.jpg?v=1607169053,,,,,,,,,,,,,,,,,,,,,,,
blue-heaven-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/1_6a087e24-c2c2-4922-b2b3-6f54cd4e139a.jpg?v=1607169053,,,,,,,,,,,,,,,,,,,,,,,
blue-heaven-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/2_9794bb39-0b2b-4e48-9190-c40774888eb2.jpg?v=1607169053,,,,,,,,,,,,,,,,,,,,,,,
classic-black-and-white-leopard-print-saga-saree,Classic Black And White Leopard Print Saga Saree,"<p>With a vision to recreate the dying romance between the women and the weave, zari Banaras offers it's contemporary hue and charm to the timeless textiles of Benaras. Accentuating the feminine beauty by bringing together weaves of elegance in shades of eclectic inspiration. For this reason alone, our sarees hold the sacred devotion of the hands that create it while our designs breathe a collective creative effulgence. Together with a discerning eye to detail and impeccable standard of quality we weave perfect sartorial sophistication for a woman of taste.<span> </span><strong><em>Enjoy our hand paint edition with love from Banaras.</em></strong></p>
<p data-mce-fragment=""1"">Saree and blouse length : 6.3 meters</p>
<p data-mce-fragment=""1"">Fabric : Japan Crepe silk</p>
<p data-mce-fragment=""1"">Time to ship : 7 to 8 working days</p>",SM,Saree,"BLACK, CREPE, JAPAN CREPE, RJ, SILK, WHITE",TRUE,Title,Default Title,,,,,ZB-RJ-KASA-DIGITAL-159002,500,,1,deny,manual,5199.00,10398.00,0,0,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/3_364c53bc-cb6b-469e-8a90-1f18d646d2b0.jpg?v=1607163127,,,,,,,,,,,,,,,,,,,,g,,,active
classic-black-and-white-leopard-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/4_a30185df-67b6-4c69-bec5-bcffa819389b.jpg?v=1607163127,,,,,,,,,,,,,,,,,,,,,,,
classic-black-and-white-leopard-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/1_810cb584-3a0b-4aae-9fd5-be286d14a9c9.jpg?v=1607163127,,,,,,,,,,,,,,,,,,,,,,,
classic-black-and-white-leopard-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/2_bf444508-2b2f-4ce2-b6df-f63a35e83a7b.jpg?v=1607163129,,,,,,,,,,,,,,,,,,,,,,,
irish-blue-and-voilet-print-saga-saree,Irish Blue And Violet Print Saga Saree,"<p>With a vision to recreate the dying romance between the women and the weave, zari Banaras offers it's contemporary hue and charm to the timeless textiles of Benaras. Accentuating the feminine beauty by bringing together weaves of elegance in shades of eclectic inspiration. For this reason alone, our sarees hold the sacred devotion of the hands that create it while our designs breathe a collective creative effulgence. Together with a discerning eye to detail and impeccable standard of quality we weave perfect sartorial sophistication for a woman of taste.<span> </span><strong><em>Enjoy our hand paint edition with love from Banaras.</em></strong></p>
<p data-mce-fragment=""1"">Saree and blouse length : 6.3 meters</p>
<p data-mce-fragment=""1"">Fabric : Japan Crepe silk</p>
<p data-mce-fragment=""1"">Time to ship : 7 to 8 working days</p>",SM,Saree,"BLUE, CREPE, JAPAN CREPE, RJ, SILK, VIOLET",TRUE,Title,Default Title,,,,,ZB-RJ-KASA-DIGITAL-159004-RS,500,,1,deny,manual,5199.00,10398.00,0,0,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/3_decbd5ec-8a5f-4263-99b6-f55c8dcead07.jpg?v=1607165810,,,,,,,,,,,,,,,,,,,,g,,,active
irish-blue-and-voilet-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/4_410e7f2f-0874-4802-89df-cd9c000fd5ea.jpg?v=1607165811,,,,,,,,,,,,,,,,,,,,,,,
irish-blue-and-voilet-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/1_f355e641-d818-4c9f-8778-86d9ee71d526.jpg?v=1607165810,,,,,,,,,,,,,,,,,,,,,,,
irish-blue-and-voilet-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/2_9b7ade82-ec45-4c8a-a603-428648e91cbf.jpg?v=1607165810,,,,,,,,,,,,,,,,,,,,,,,
blue-and-yellow-shaded-print-saga-saree,Blue And Yellow Shaded Print Saga Saree,"<p>With a vision to recreate the dying romance between the women and the weave, zari Banaras offers it's contemporary hue and charm to the timeless textiles of Benaras. Accentuating the feminine beauty by bringing together weaves of elegance in shades of eclectic inspiration. For this reason alone, our sarees hold the sacred devotion of the hands that create it while our designs breathe a collective creative effulgence. Together with a discerning eye to detail and impeccable standard of quality we weave perfect sartorial sophistication for a woman of taste.<span> </span><strong><em>Enjoy our hand paint edition with love from Banaras.</em></strong></p>
<p data-mce-fragment=""1"">Saree and blouse length : 6.3 meters</p>
<p data-mce-fragment=""1"">Fabric : Japan Crepe silk</p>
<p data-mce-fragment=""1"">Time to ship : 7 to 8 working days</p>",SM,Saree,"BLUE, CREPE, JAPAN CREPE, RJ, SILK, YELLOE",TRUE,Title,Default Title,,,,,ZB-RJ-KASA-DIGITAL-159001-RS,500,,1,deny,manual,5199.00,10398.00,0,0,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/4_9f14ebc3-da02-4040-aeb6-642481a4db57.jpg?v=1654007477,,,,,,,,,,,,,,,,,,,,g,,,active
blue-and-yellow-shaded-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/1_57e1e100-6bf2-4971-acf7-79849667040f.jpg?v=1654007477,,,,,,,,,,,,,,,,,,,,,,,
blue-and-yellow-shaded-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/2_da938aeb-328f-49f8-ad6c-766433dcdb9f.jpg?v=1654007477,,,,,,,,,,,,,,,,,,,,,,,
blue-and-yellow-shaded-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/3_8546f8e5-cba7-4c43-a90e-400f95245477.jpg?v=1607162801,,,,,,,,,,,,,,,,,,,,,,,
blossom-pink-print-saga-saree,Blossom Pink Print Saga Saree,"<p>With a vision to recreate the dying romance between the women and the weave, zari Banaras offers it's contemporary hue and charm to the timeless textiles of Benaras. Accentuating the feminine beauty by bringing together weaves of elegance in shades of eclectic inspiration. For this reason alone, our sarees hold the sacred devotion of the hands that create it while our designs breathe a collective creative effulgence. Together with a discerning eye to detail and impeccable standard of quality we weave perfect sartorial sophistication for a woman of taste.<span> </span><strong><em>Enjoy our hand paint edition with love from Banaras.</em></strong></p>
<p data-mce-fragment=""1"">Saree and blouse length : 6.3 meters</p>
<p data-mce-fragment=""1"">Fabric : Japan Crepe silk</p>
<p data-mce-fragment=""1"">Time to ship : 7 to 8 working days</p>",SM,Saree,"CREPE, JAPAN CREPE, PINK, RJ, SILK",TRUE,Title,Default Title,,,,,ZB-RJ-KASA-DIGITAL-159005-RS,500,,1,deny,manual,5199.00,10398.00,0,0,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/4_31aa5363-5910-4e8d-a471-f9c13c89f4f6.jpg?v=1654007464,,,,,,,,,,,,,,,,,,,,g,,,active
blossom-pink-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/1_2cec24bb-23d1-4a7d-861c-f1e69c47b49b.jpg?v=1654007464,,,,,,,,,,,,,,,,,,,,,,,
blossom-pink-print-saga-saree,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0471/1333/9031/products/3_4559f966-8e69-4d6b-926c-81173481d897.jpg?v=1607166193,,,,,,,,,,,,,,,,,,,,,,,
Shopify Spy extracts only 100 products/variants on a free plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
